V1,Control.M.6-Rapamycin.M.6_logFC,Control.M.6-Rapamycin.M.6_logCPM,Control.M.6-Rapamycin.M.6_LR,Control.M.6-Rapamycin.M.6_PValue,Control.M.6-Rapamycin.M.6_FDR
Srcin1,-1.52769925238936,-1.00247336959062,4.61832138450642,0.0316321797117594,0.692390857223033
Srd5a2,-4.46541774945998,1.31575464768241,40.2628748084577,2.21987568500438e-10,1.774346635024e-06
Txlnb,-5.33239061933414,-1.43944698643167,5.89200801943099,0.0152097476358185,0.567056303789862
Zc3h12d,1.80046515511477,0.600511759148476,7.20986481002685,0.0072503955379585,0.418391749969263
Gramd1b,-2.17648308842818,1.45163555745061,18.7092146943368,1.52244985132626e-05,0.0121689416616508
Cacna2d1,-3.20375603484688,-0.116708781871198,21.2581307975267,4.0140404939763e-06,0.0053473709447254
Thbs1,-2.11406568632838,-0.146313504497473,8.39387598960997,0.0037648724362124,0.308642311616881
Sh3bgr,-3.81774862581008,-2.55413848937322,3.99640949853724,0.0455973000619269,0.756139459325689
Myh6,-7.06225270164902,0.961966849293083,5.82131452777786,0.0158331076123204,0.573372984058718
Dlk1,-5.97805068371582,-0.802356749817743,10.4004483207937,0.0012598472248324,0.170677268950603
Atp1a3,-3.52657872180092,-0.962216380151265,13.4672622309206,0.0002427622818727,0.0718666266299556
Slc7a1,-2.5180897787838,0.170549779749896,21.3739781303821,3.77865099270363e-06,0.0053473709447254
Atp1b2,-1.8693766942362,-0.504401865550224,10.1438668221111,0.0014478213706939,0.188169694568407
Pnpla3,-2.38415128591238,-0.0869015786949562,4.90112433308641,0.0268392156229433,0.657203953664125
Rasl12,-2.02555023046248,-1.0890108408879,4.93816496436537,0.0262699121726753,0.657203953664125
Tmem45b,-2.12180275256895,-0.446824628175669,5.77136621455244,0.0162893659580275,0.5764675217627
Phlda3,-1.55261125103706,0.37440179666498,4.9278522327637,0.026427143605939,0.657203953664125
Klhdc8a,-1.53295384083467,2.27836928101244,11.3877070049841,0.0007393173486347,0.134303717446307
Esm1,-2.45700298907183,-1.14027305548338,5.55420735745254,0.0184363192713659,0.591813252755133
Gucy2c,1.68379724453025,1.89852604792456,4.80640345276261,0.0283541628748856,0.667447860265738
Bex2,-2.91560440417378,-2.44106988476199,6.5566570785649,0.0104492483973415,0.512397806380066
Ifi209,-1.54594243957438,-0.709940935873157,4.96917436227197,0.025802961702708,0.65535791508161
Cxcr4,-2.76561148596465,-0.711142422880464,19.4296451516802,1.04374285055696e-05,0.0092695962272242
Mc2r,-8.90466962070069,-2.3767220073016,7.73497926562883,0.0054161185345104,0.374814159708587
Sbsn,-4.8972555728579,-0.448428441271485,10.4718780437641,0.0012120543999972,0.167759379382895
Trarg1,-2.78920293241947,-0.433611826427318,10.1096927874761,0.0014749154766332,0.188852146441575
Bex4,-2.08379073007353,-1.50596856635856,5.41268536279365,0.0199909406981549,0.610207910732287
Nat8l,-2.64407564040961,-1.11446007432745,5.69944076223991,0.0169703192670798,0.5764675217627
Ric3,-2.16625132102145,-0.168696655179064,18.2536018834406,1.93359968078162e-05,0.0131417054174663
Kcnk3,-4.52297631417955,1.03587012709553,21.0034677829205,4.58452820982048e-06,0.0054588407805204
Ptges,-2.1672041173251,-1.49930982432863,4.23794407321209,0.0395300087021966,0.73995877416146
Trap1a,4.78800213376702,-2.83367891547436,4.27444649919403,0.0386895626979914,0.733810417028558
Cacna1c,-4.10349537536775,-1.61599856485289,13.5889071320215,0.0002275260529642,0.0713182643663917
Btla,-1.51052091625649,-1.43461987474091,4.77095930283892,0.0289436936907792,0.671518017805819
Akr1b7,-7.5400499746757,0.502713555925986,31.5974080504972,1.89682593300281e-08,6.06453187299657e-05
Actn2,-6.51496034530868,0.0738074275191148,5.73416689025427,0.0166379587165204,0.5764675217627
Dlg2,-3.38521982745856,-1.82927725982137,10.2922580957488,0.0013358950954116,0.177963491627086
Map1b,-3.30933367128371,-0.862239143865581,18.4346037650101,1.75835724541828e-05,0.0127768631478439
Gpc3,-1.65767644585655,-0.42616186182756,4.55010819572492,0.0329166663284974,0.695119984051994
Hoxb8,-3.80864027285087,-2.34935052388406,5.76432379029932,0.0163547774648394,0.5764675217627
Sema3b,-1.56058907390053,0.221212299457334,10.5905966015445,0.0011366429240349,0.16223548021092
Spock2,-2.46273732189979,-0.0982137019121301,11.7406780067285,0.0006114874335049,0.118659188137896
Myl3,-7.85716790873661,0.909334969368564,8.66622420422733,0.0032416215652219,0.293606700897895
Rpl13-ps3,-1.7001742969642,0.622199573148256,6.02005474088253,0.0141442079990765,0.554048084642549
Klk1b22,6.87330594520398,-2.09346451241342,6.39189283231219,0.0114642718080547,0.517782015320078
Fhit,-1.57120893671113,-0.431516939841178,7.60042588364587,0.0058354515315141,0.376822379782487
Obp2a,-2.63539414995779,5.23179783569363,5.08962967406376,0.0240693309639569,0.642747249534413
Fabp4,-2.39200917442476,3.26680853887457,10.1074649320653,0.0014766995061426,0.188852146441575
Zfp993,-1.75217301833223,-1.06303040289542,9.08403766900008,0.0025785012849468,0.259244789567041
Ly6m,-5.65064689648611,-2.73516383434372,7.56836937790982,0.0059401501129229,0.376822379782487
E230001N04Rik,3.51377283060454,-1.46990225147439,8.22366539386664,0.0041347601772631,0.325607271890286
Trim12a,7.41832901862603,1.31459564710669,8.41073064624932,0.0037301271846588,0.308642311616881
Hmgn3,-1.61115462226965,-1.25856652024966,6.16618539743507,0.0130215087409947,0.541821264245182
