V1,Control.M.6-Acarbose.M.6_logFC,Control.M.6-Acarbose.M.6_logCPM,Control.M.6-Acarbose.M.6_LR,Control.M.6-Acarbose.M.6_PValue,Control.M.6-Acarbose.M.6_FDR
Pnlip,-10.7742851619869,-1.07549809471914,10.4254068708344,0.0012429347200393,0.293216652368736
Trarg1,2.43889446805356,-0.433611826427318,7.11763206365005,0.0076329456314516,0.466609144771777
Arxes2,5.53688930213779,-2.29148989281053,8.58752846811294,0.0033847308225233,0.390712226243326
Nat8l,3.48912319734149,-1.11446007432745,8.05030391803435,0.0045496021347476,0.405852116255236
Cd300e,2.08360541393203,0.673567442446876,4.76802236476857,0.0289931119144478,0.63752941824534
Kcnk3,2.08912426949063,1.03587012709553,5.18433249451851,0.0227914255556636,0.602221039558411
Zg16,-7.34410161795247,-2.28607388854209,6.037670691157,0.0140037490143726,0.541167684486769
Sprr1a,-4.00547259380665,-2.4003913365696,4.10323007388052,0.04280136878929,0.670473207147279
Tnfsf15,-2.10691586777686,-1.7163682665187,4.58033578558891,0.0323408767285598,0.645739983675959
Slamf8,-1.58673831816795,-1.5786262218791,3.85782130116313,0.0495145857604386,0.680602036084584
Slc51b,-3.0247599269539,-0.77580602127372,13.8388566982755,0.0001991743637305,0.132666724108178
Try4,-10.3943376690211,-1.42932597969658,10.2364567059914,0.001376918296029,0.301526244935886
Adm2,3.56876612615953,-2.53696301373104,3.87615602210244,0.0489765704750532,0.679739062586295
Cpa1,-10.6098437444045,-1.21289343937306,11.5699277837397,0.0006702702146594,0.243521355716962
Gpc3,2.52695988603168,-0.42616186182756,6.94718653473741,0.0083951160686535,0.475480474372595
Tmt1a2,-2.30387050486218,-0.881240775433068,5.21545392434049,0.0223870019614446,0.600833464979791
Hoxb8,4.2354328156191,-2.34935052388406,5.19725055019549,0.0226226438012269,0.600833464979791
Prss2,-10.6098571903833,-1.18751948222252,10.195639862564,0.0014077310519332,0.304107954002776
Gsta2,-1.53695824719912,5.13179277356781,15.2151832571501,9.59290311865143e-05,0.099181302965911
Gm5431,1.73219344568363,-0.89677261719606,5.20289850482153,0.0225492575234666,0.600833464979791
Spock2,1.58822014267288,-0.0982137019121301,4.27533019744755,0.0386694499473189,0.666549536709712
Cela2a,-4.80985435849098,-1.2052410121898,5.47302210897058,0.0193122027409867,0.579623658004128
Tpt1-ps5,-3.05657416915149,0.192797301374369,4.26695308040472,0.0388605525307131,0.667232355502649
Gm12222,2.97604763841632,0.892952509478939,3.92781421293527,0.0474936365859258,0.674208370750461
Retnla,5.11617180461239,-2.17806971746576,6.38619203154471,0.0115011496340245,0.516912161507366
Gm9104,-3.04077259421869,-0.509046167857191,4.19987740096275,0.0404269019447745,0.669314826573499
Tmem151a,1.56983060233329,-1.02218420976231,5.65004789246778,0.0174548954412911,0.565306724888478
C1qtnf7,1.53315696659482,-0.850465702029103,9.44129501591541,0.0021215363853173,0.332498829957683
Obp2a,-3.46912268479204,5.23179783569363,8.20677651838471,0.0041734227075002,0.405052927487279
Ctrc,-6.22808296958683,-2.87953650768128,4.39075196479646,0.0361343727909431,0.656468363632952
Fabp4,2.20836805545163,3.26680853887457,8.64749052438202,0.0032751213760722,0.390712226243326
Msln,2.97045783569581,0.227097622655394,11.9765970868737,0.0005387287387505,0.227311280554375
Cyp26b1,1.5296170278953,3.02207249856409,4.00551678613714,0.0453515920219519,0.674208370750461
Klk1,-4.29451898180628,-0.358138061044892,6.79390924088035,0.0091469391561034,0.48904003126913
Zbtb16,1.62893288039769,4.32991998931116,6.10747285256862,0.0134611468809895,0.541167684486769
Il2rb,1.94968359502903,0.810553607262642,14.8067625130146,0.0001191076192795,0.105780800100144
Cd300ld4,1.65878385581328,-1.35488784617694,4.65915321855755,0.0308884212776752,0.644735540002487
Sult3a1,3.05617185316558,5.66211285490086,8.54535374646105,0.0034640527533446,0.390712226243326
Gm8054,-2.23906905748715,-0.783969621921847,3.87264363718003,0.0490791580618712,0.679739062586295
Amy2a1,-8.48039572194288,-2.61878724481725,8.46724503079572,0.0036159867705795,0.391210699959899
Gm10419,-2.25249911327944,-1.96370471315416,4.98707718925372,0.0255373087309983,0.609378745917278
Nup62cl,2.44952463400814,-1.0353750662214,8.90976825441033,0.0028364925945343,0.376487698292736
Gsta1,-1.74380753250516,4.40914955618558,16.5800579419019,4.6638863738101e-05,0.0845695128724104
Amy2a5,-11.0637017712129,-1.01219672986773,10.7649256440703,0.0010344172024544,0.270464499839037
Zfp872,1.82385584495139,-1.12283791303665,8.09951755512552,0.0044277042273043,0.405384999354073
Ism1,-2.69175371668054,-1.55921869549976,7.54460077380313,0.0060190156580118,0.443601851038098
