V1,Control.F.6-alphaestradiol.F.6_logFC,Control.F.6-alphaestradiol.F.6_logCPM,Control.F.6-alphaestradiol.F.6_LR,Control.F.6-alphaestradiol.F.6_PValue,Control.F.6-alphaestradiol.F.6_FDR
Irx3,-1.73977740906617,-0.411264383309744,6.08824385899739,0.0136084280398314,0.201629018096155
Pbx4,-4.474874714273,-1.92864558413363,6.68997159067024,0.0096956750118565,0.168469498217615
Lpar2,-1.66728987770877,0.203997717165234,3.90665445399068,0.0480952504466204,0.359108208145574
Ces2d-ps,-1.81775266081111,2.60743515226635,7.18902913366853,0.0073350657557694,0.147435060547096
Acta1,-4.491746171814,4.25911382407819,5.10265808342939,0.0238892083683411,0.259124772387949
Usp2,-1.81715873668798,4.97247296117237,4.32071360298464,0.037651129638631,0.316285317079955
Apoa4,1.8689899975451,7.53424674976826,16.0714075984081,6.09981044812673e-05,0.0131988386550832
Tmprss4,2.47562022649529,-0.837364534925948,11.5113878836677,0.000691711128496,0.0462665025110374
Fam81a,-1.64565464608249,0.493163702209198,10.3769575200871,0.0012759778831768,0.0614430846341418
Cyp1a2,-1.50074225434125,9.47942852307499,31.6762055266895,1.82140173614991e-08,9.70564271803082e-05
Cyp1a1,-1.61115374263941,0.500810736061103,12.1674083215244,0.0004863183189262,0.0397932937045108
Dclk3,-1.8234340720011,3.59792095242805,21.7755979677888,3.06473352019525e-06,0.002449641502692
Mst1r,-1.87276017297758,-0.936648766387687,11.8011930729452,0.0005919277576953,0.0424486927701477
Brip1,-1.79033783434001,0.573718973245786,25.1799145886082,5.22232624042367e-07,0.0008348410727941
Ubd,-2.36615546754467,-1.37935343685713,5.07221701895752,0.0243122700129812,0.260629298183506
Ccr3,-3.261369882739,-0.333966618337363,11.483210388645,0.0007022771634836,0.0465834138400373
Tnni3,-4.81415351274686,-1.30989259607579,13.928656362779,0.0001898814016825,0.0261676214422144
Thrsp,-2.49210191153091,7.82472634636244,14.1928906997535,0.000164992710731,0.0241979217774849
Aff3,-2.20728868742251,-0.739619664228779,14.0779123416431,0.0001753913812466,0.0252595191045887
Arhgap10,-1.61510574195592,0.23439682027903,10.4765610602537,0.0012089858927004,0.0594672260944896
Dusp8,1.89020050056751,0.186935437959494,7.16167142544103,0.0074477764790385,0.148228167439729
Hsd3b5,-2.05901727720388,6.39418023125012,6.9669977916641,0.0083026681271172,0.15487334035017
Egr1,2.24087758097225,4.77975468775314,6.54624366782943,0.0105105830116211,0.174840978172503
Ciart,-3.54235037473384,2.81332353298894,10.7422795138785,0.0010471526659659,0.0575267701991644
Fam117a,-1.61238346218043,1.34436809372641,20.7359498272316,5.27169486638657e-06,0.0026335410666892
3930402G23Rik,2.08643809442406,0.0955398832926723,6.84007144069551,0.0089135274303122,0.16173853518839
Ifi44l,-2.90134120670293,-0.59984760134693,4.96178049244247,0.0259135125343434,0.265759484648574
Mmd2,-2.54789628466145,2.67344496576132,18.8777966557572,1.3936537558596e-05,0.0049508775424825
Bmf,-1.84800684067415,2.93915448152002,8.16472443109571,0.0042712963055106,0.111537390064119
Xaf1,-2.39902868174218,2.26654593336204,16.6643098685116,4.4612484086154e-05,0.0111433620406447
Igsf23,-4.03945056227949,2.19558235663199,8.2936247849218,0.003978449672049,0.106253502628486
Myh6,-8.45024434028744,0.961966849293083,7.42080125607266,0.0064474097975185,0.137976295881034
Snrnp25,-1.84675936176094,2.87523335034311,4.65865541885368,0.0308973781129501,0.287918453675072
Pla2g5,-4.98683554082072,-0.893298018744496,6.5598567832926,0.010430476056927,0.173991660725018
B4galnt3,-1.75994149972204,0.412749156624833,12.4136550119345,0.0004262058656985,0.038063279156746
2010003K11Rik,2.36933169259954,4.2147678013739,34.2358473858334,4.8821301991822505e-09,3.90228666820637e-05
Jph1,-1.73055541776994,0.411215539474097,8.53253930499015,0.0034885264667183,0.0996499823660226
Bex2,-3.99871985305014,-2.44106988476199,6.78104521130702,0.009213092525374,0.164559214648748
