V1,Control.F.6-CR.F.6_logFC,Control.F.6-CR.F.6_logCPM,Control.F.6-CR.F.6_LR,Control.F.6-CR.F.6_PValue,Control.F.6-CR.F.6_FDR
Col17a1,-2.03749891969414,-1.2527742320234,6.73831416230321,0.0094363757084539,0.0592802166610389
Cbr2,-4.72517562203717,-2.57614644244601,8.18430324193791,0.0042254404795645,0.0336561492308517
Agap2,1.81443674417895,1.48325697627773,15.574424615078,7.93202796621611e-05,0.0018953871310602
Cox8b,-5.48125658260385,-0.523424931086004,7.56179440004564,0.0059618601788306,0.0432032170529405
Tspan4,-2.03543566033223,5.23287917524391,45.1327668349429,1.84118808287778e-11,8.17589797024561e-09
Tk1,-1.94147043230709,4.62526881492427,48.9598699830768,2.61253294257792e-12,1.7401646508354402e-09
Col7a1,-1.8640317916204,-0.86585214715155,10.677085446884,0.0010847083054878,0.0128636105130031
Homer2,-1.78631877517532,4.27795752065245,47.0313555271997,6.98600707004594e-12,3.7226103007251503e-09
Coq10b,-1.61194913717294,4.27743127884931,13.6868444654964,0.000215962046445,0.0040425869724482
Npas2,4.05131340705709,0.601277306252361,13.810892464869,0.0002021607990777,0.0038336210368413
Igfbp5,-1.75952775404379,3.63900303947597,6.48124863278916,0.0109018373424731,0.0654929619529407
Des,-3.02888846634729,3.13502452796605,16.4994673353702,4.86637437224996e-05,0.001357659000258
Ngef,-1.78612568938122,5.13787478816455,37.5336919610452,8.98474986825458e-10,2.17621532415027e-07
Cacna1s,-8.47804103745587,-2.0754346452691,6.18492373802158,0.0128843255803673,0.0733768538395978
Pkp1,-3.05291306172651,-0.759797753129263,7.34490645555887,0.0067253031507099,0.0468252161007184
Tnni1,-6.91632747835292,-2.45565814928477,6.6036977994095,0.0101767201002196,0.0626361393975991
Rgs16,-1.93455933315667,6.11508222926783,5.24570573805408,0.0220010024419441,0.106481388143178
Styxl2,-6.46104565829351,-3.14545905970995,6.17297938536418,0.0129715973755251,0.0736418348021189
Adcy10,3.2913960501934,-1.54251064718003,8.08523471207469,0.0044627350827262,0.0348516282523015
Prrx1,-2.46430252927331,-1.17048231470617,7.15658085129186,0.0074689436342639,0.0504003938106137
Lamb3,2.06920367906904,3.83386306476296,23.4862052969809,1.25812624397404e-06,7.82583896348989e-05
Fmo3,-2.68191725647316,6.98498922695574,5.70231042116529,0.0169425962678085,0.0884823077220474
4930562F07Rik,-1.68005760808793,-1.13966168297093,8.38588832184261,0.0037814535132097,0.0313267568598229
Plxdc2,-1.74715286372834,-0.856531249253024,7.62604756900426,0.0057531242744016,0.0422071797386807
Ak1,-5.64648271807322,-0.0685324124722503,17.7687221029806,2.49450565088676e-05,0.0008088674915836
Upp2,-1.68960076481196,7.51924982039823,10.3605940203744,0.001287337742307,0.0145334612630792
Hspa5,1.81044435155229,9.66108920031951,33.0678186630755,8.89996571897424e-09,1.36802742291848e-06
Neb,-1.69872748867653,3.44893379853478,10.4104565362503,0.0012530376265071,0.014311617800347
Xirp2,-10.4215785531683,-0.563646198349672,8.04663074546235,0.0045588361887445,0.0353774540355682
Smtnl1,-7.98271603233823,-2.42954355379649,6.24795030458698,0.0124337102682474,0.0715111910062367
Elf5,-1.81264276203026,-0.892453910905163,10.6919255127663,0.0010760415008944,0.0127807322614334
Map1a,-2.07828291399939,-0.763253766131236,11.524828290136,0.0006867279381157,0.0092407683659244
Knstrn,-3.39713938882037,-0.42521853191621,33.1841139783165,8.38326286420395e-09,1.32687960541747e-06
Adra1d,-7.13945431358382,-0.318321450317804,10.3977366616314,0.0012616986801856,0.0143249397027333
Usp50,1.50573710203023,0.393292989261718,10.4412538872751,0.0012323158434435,0.0141419964632368
Tgm3,-7.76106400078447,-0.792533909953112,7.95041392761992,0.0048076379400578,0.0369237324147354
Mylk2,-7.63511816579813,-2.38430735078778,5.16055084731279,0.0231055679821792,0.110357218333766
Bpifa5,-8.52486779555472,-2.48797943572299,8.62779677290498,0.0033107174927929,0.0285310672990768
Fabp5,-1.55945353560779,3.56288680099828,4.69454391556704,0.0302585284959423,0.131801862816385
Car1,-1.64914199583494,2.66964488950735,26.5132972205575,2.61730318834977e-07,2.29891256972305e-05
Chrna4,-3.10914596579125,1.44198754803788,9.4939166006739,0.0020615427722346,0.0202244679322466
Ect2,-2.12564942702038,-0.178911748214183,17.3318526956211,3.13881271377659e-05,0.0009612463609661
Slc7a11,-3.36400766832877,-0.920561872069679,4.95616756637497,0.0259977637468285,0.119616030541518
Casq2,-6.49452132875315,-2.22286398600776,7.45137273337399,0.0063388087333851,0.044956608878392
Tbx15,-6.07911676032476,-2.44072062510275,4.82691684672822,0.0280186933586369,0.125428964444461
Sypl2,-4.36425082328446,-1.84587119328475,6.31366086757745,0.011981119997553,0.069723401631191
Crct1,-10.1195842753736,-1.02582400378151,8.08194492864448,0.0044708436864659,0.0348979038925025
Lce1g,-7.02787424913962,-3.05300536030046,5.17877586430636,0.0228644270172294,0.109499919202345
Lce1b,-7.87106832167353,-2.44964487383213,5.72183214031961,0.0167552378178731,0.0878194202480392
Pmvk,-1.64809591321533,5.44496901072821,28.320237321127,1.0281547228929e-07,1.08848221193152e-05
Cyp2u1,1.94433872641452,4.64929743508905,17.4388977936374,2.9669202397138e-05,0.0009203709720392
Ptgfr,-1.54797958620934,-1.10730759673959,3.95677675907564,0.046683011419174,0.175346480391662
Efna3,-1.94724412568396,-1.04838327350068,7.57434234962974,0.0059204977456798,0.0430204895283813
Hcn3,-2.09390553598639,3.55049246590621,15.7800373308362,7.11492671941313e-05,0.0017661369337971
Myoz2,-7.33191375771236,-2.21874577543102,5.37982140562266,0.0203709632948124,0.100664673641691
