V1,GHRKOControl.M-GHRKO.M_logFC,GHRKOControl.M-GHRKO.M_logCPM,GHRKOControl.M-GHRKO.M_LR,GHRKOControl.M-GHRKO.M_PValue,GHRKOControl.M-GHRKO.M_FDR
Irx1,8.80471553761408,1.43781873942536,68.5815136578679,1.21739998753961e-16,2.59484749344109e-14
Blnk,1.70801680590313,0.338120056997744,5.34551624797709,0.0207756306037386,0.102002220771304
Nuggc,5.54059773043604,0.88233662983088,24.2875602559374,8.29731929056457e-07,3.32113670619069e-05
Obscn,-5.27493669987854,0.133535884791323,5.80477713178976,0.0159826933637218,0.0853656318451242
Orm2,-2.59792694963863,4.41118238242554,17.0227882820187,3.6933877769515e-05,0.000828533859084
Ksr2,-2.4428835670434,-1.057833630982,9.91169582905435,0.0016423171933812,0.0166798492080005
Rpl21-ps8,-1.96285512554549,0.65067448974853,8.80284730241882,0.0030076079983889,0.0262157150830133
Tnnt3,-7.40537600443397,2.50443839030844,5.3315027755634,0.0209433195832443,0.102385292617047
Myl1,-6.03982984553449,-0.513776623784984,4.10005873700605,0.0428817237604935,0.16561552592946
Ugt2b38,1.76493504962631,5.83709097452066,74.8621233186307,5.047615395746939e-18,1.2043459659165801e-15
Zfp13,-1.96594493472526,0.0995592962771114,19.0027869775942,1.30527665829882e-05,0.0003437586929088
Obp2a,12.5769948919598,5.23179783569363,39.4117946974416,3.43217584583962e-10,3.13524360409098e-08
Ces3b,5.26448838714821,8.2909379835288,213.250684046375,2.68339106511638e-48,7.14944826115842e-45
Cyp2c67,2.57292738857764,7.7630288295262,95.0110337310417,1.89327052897143e-22,6.05316453522745e-20
Serpina11,2.16758185266635,6.08063099948999,17.1841919164005,3.39247671439093e-05,0.0007692501100177
Zfp993,3.17236384037583,-1.06303040289542,21.3505638588777,3.82508236584058e-06,0.0001237809042516
Slc39a4,-3.71601460031926,5.40736722886282,66.9701172026794,2.75654054006151e-16,5.64949449659273e-14
Plppr1,-4.62257093862563,-0.95347833508987,7.58618498326249,0.0058817288261202,0.0424110586442754
Slc22a28,2.53245921332945,4.79519204194284,104.741024323239,1.39189168648509e-24,5.70532833337195e-22
Mapk15,2.50128079364152,3.87846699393067,49.075905946881,2.46246437946388e-12,3.2804129641758e-10
Paqr9,2.38548203462669,8.67111498296622,49.007363077292,2.5500345914349297e-12,3.3689961139404e-10
Chi3l1,-8.04553880056485,-0.126515717061256,54.7186998836082,1.3907664717709998e-13,2.0974332846916298e-11
Zfp979,4.21842038398993,-0.430272840310414,19.2441729808636,1.15020906053273e-05,0.0003110072099257
Cyp4a12a,5.50934429322913,7.92483274098774,65.6354514340646,5.42540007148592e-16,1.04494512702137e-13
Cyp4a10,-2.33954168528301,10.3342138332652,12.4463018948199,0.0004188202490117,0.0059513748262652
Mup21,6.2995134157478,7.11177398230675,94.5771472247314,2.35724056654204e-22,7.388793666027661e-20
Mup3,5.32628184774623,11.582721348148,138.251545950123,6.420618172074e-32,6.03764718228088e-29
Serpina3c,5.10088847295199,6.07410548015359,9.15245482605204,0.0024838461887915,0.022754593222935
Gm16551,5.45081725098684,2.27635939500526,76.6296060091992,2.06224748693509e-18,5.15110755096007e-16
Capn6,1.56124040631788,-0.587020759654652,7.70190770513494,0.0055162493287808,0.0403677880091493
B3galt4,-2.85590008283023,-1.02553649025139,27.1155574962412,1.91649394598381e-07,9.60409787476398e-06
Slc22a27,-5.80904990238531,3.6486927953905,118.844743746491,1.13256053369581e-27,6.70559729320788e-25
Xlr4b,-4.94386040795034,-1.70032655598942,12.829613057,0.0003411763044497,0.0050641080807187
Zfp991,1.66017394928936,-0.509108133945276,11.8345948855374,0.0005814034631464,0.0074893761175332
Cyp2d9,1.68077515417322,9.76834955362464,17.4821720800666,2.90014526272876e-05,0.0006737595984361
Cenpm,-2.53986148192466,0.863082845850079,21.6821990739987,3.21763297104749e-06,0.0001078345506816
Lgals1,-1.72223146592722,3.28164759533132,13.8226596126247,0.0002008986697895,0.0033246026244878
Selenbp2,5.12300987205114,8.25749072829517,31.8844729909773,1.63619858074672e-08,1.03168499320568e-06
Ube2u,3.67640762458809,-0.697135140165945,4.91353798051568,0.0266470063056279,0.120725922546413
Zfp125,2.16271718595658,-0.208883727256408,17.3269493081252,3.14692200715924e-05,0.0007196952103926
Cacng7,2.00911975737772,-0.509046939690965,9.56150540485874,0.0019870009386874,0.0194395330513208
Ces3a,3.80487994101978,10.3208580704186,131.566137103752,1.8616749602835e-30,1.4880367957546e-27
Prok1,9.87855608927462,1.34255308203662,43.3624942834395,4.54822794982342e-11,5.01434289695705e-09
Gm20634,-1.66607740730921,-0.69435323790384,4.75900569436455,0.029145380101986,0.128316729911966
2310016G11Rik,-2.2638715501228,-1.47357207943209,13.2093464391172,0.0002785564918044,0.004323304930084
Mn1,3.16971323714226,4.30864579416996,59.3668573767077,1.30854436758527e-14,2.20193581686507e-12
Zfp992,2.91023519019719,0.804760857005906,36.0854619844386,1.88850529141671e-09,1.45843698495592e-07
Tmem200b,-2.36850459940211,1.33250692054221,34.9406135068096,3.39916115973775e-09,2.52739489765431e-07
Sult2a6,-11.665222252696,3.9756845354573,59.9809301847258,9.578091028910471e-15,1.62888684242726e-12
Sult2a2,-11.6957495186317,6.36020804363444,327.91092025312,2.74028687851545e-73,1.46020753466493e-69
Gspt2,-2.83666611356034,0.472189594266333,13.9497657625203,0.0001877610496748,0.0031567362732812
Ccnf,2.42404737488617,3.18617208692211,23.0913803083587,1.54481688801615e-06,5.66409237885922e-05
Zfp9,1.64534159687292,0.348442022605289,8.31860856477135,0.0039240967991808,0.0317302030509381
Serpina1e,2.02965658262576,11.1395121973541,5.73116209875889,0.016666450125384,0.0880468842380664
Bhlhb9,-2.3433838298046,1.19619816589511,18.8506359136935,1.41363964682678e-05,0.0003680528240093
Gm15401,2.33326651019547,0.594003447115138,8.19436737438012,0.0042020644307394,0.0334033823917456
Mup14,6.52041331209999,11.3391505858301,123.895032388912,8.88201267986208e-29,6.17338498696849e-26
Mup11,6.33196541792166,11.4655713643474,137.105981192518,1.1431797583887e-31,1.01527064542232e-28
Mup-ps12,-3.15575211158835,2.17771296577469,13.8596104840732,0.0001969867334687,0.0032666285489956
Mup-ps2,-3.09631199153401,1.81973855331105,21.0755870071793,4.41517488663764e-06,0.0001394881141063
Mup7,7.71934503691448,12.4813289079589,119.215239073888,9.396030006580239e-28,5.777112910968911e-25
Gsta5,-1.77481262340621,2.56466040548084,12.3337365023451,0.000444845095427,0.0062107368519627
Gsta1,-2.14570810329668,4.40914955618558,24.9287007102142,5.94901479303783e-07,2.50925990716366e-05
Cib3,3.14600851515401,-0.635280011407057,6.7301283446651,0.009479777862959,0.0591505577350752
Cyp2a4,-2.7903671792364,8.54001093747207,13.0854451256219,0.000297599107547,0.004548202039433
Gm6166,4.40330645618628,2.76653569499033,17.677925708676,2.61645431664764e-05,0.0006164500561019
Sult2a3,-12.9089170778166,4.04813809419021,66.9049923097634,2.84912468242032e-16,5.76533002192041e-14
Sult2a4,-8.851578367006,-1.25828106061946,35.6417200221975,2.3715373755633702e-09,1.79674864861403e-07
Zfp872,1.95294194685051,-1.12283791303665,9.85569803999938,0.0016930654594504,0.0171191299397688
Zfp1003,1.6021246443678,4.63670632102166,10.8029398636071,0.001013390351652,0.0114731290095675
Zfp972,1.70047776893159,-1.09067405574311,5.13818173940534,0.023405149180158,0.110402689523165
Rdh16f2,-2.28334249130154,7.23083773390459,20.9648451181404,4.67788852374053e-06,0.0001457818279998
Fndc10,-1.63562246987821,-0.0582780875710983,11.8749030252137,0.0005689543229105,0.0073825517906236
Gm10804,-2.39231552316355,0.306789542256696,8.23762767239199,0.004103072650987,0.0328615828650693
Slc22a29,-5.18471309635559,1.90273939515589,65.9575422681546,4.607419299398939e-16,9.206775615023931e-14
4930594M22Rik,1.96887022513046,-0.0356868301199096,22.6715297149879,1.92194557845782e-06,6.82760489271704e-05
Urad,5.92717081147118,4.54498010591872,187.908190304841,9.09789447124908e-43,1.61598823352653e-39
Sox4,-1.65179455387147,1.34312214549378,16.6169228874865,4.57410630677893e-05,0.0009854671619968
Ighg2c,1.65838916976508,-1.14190311107075,3.99101365569157,0.0457435372345856,0.172792104497185
Gm10941,-2.15310851696915,-2.07439018814799,4.10864315391967,0.0426645783300045,0.165022005609352
1700045H11Rik,5.06702869956973,-0.820478625273204,8.37607260655651,0.0038019310812994,0.0310565509788722
Zfp982,2.23929976717555,0.533351123961611,16.8858458200453,3.96964942877067e-05,0.0008765029802255
Ccdc24,2.16787896438876,-0.763729172336219,4.7534775129978,0.0292391483643453,0.128587902545371
Cyp4a12b,6.15563905128624,5.50533515274377,80.3355946859295,3.15926490796337e-19,8.27934570798402e-17
Mup20,4.38259552241935,9.5774323921205,38.3302006997728,5.97310486701954e-10,5.16140834617159e-08
Mup19,5.76921057785522,11.5225470565613,104.610806490823,1.48643898262555e-24,5.940553394063e-22
Mup18,5.51764697975058,11.1913154166899,97.1683556099727,6.367623102745681e-23,2.12068381084359e-20
Mup16,5.65439915263297,10.4666827395071,100.848833854,9.92782417733955e-24,3.7787189833083304e-21
Mup10,6.39908061922311,11.9897222292334,154.421023303792,1.8737835779632702e-35,1.99695361848805e-32
Mup1,6.44384941328291,12.0829139680547,87.9298966316879,6.78158734872642e-21,1.9019378132761498e-18
Mup-ps4,-3.10515906238074,2.67100756319764,9.14576599535697,0.0024929425355161,0.0227971130281858
Mup9,5.40121822803008,12.4444432736986,57.732427122102,3.0031100714463e-14,4.80077176021405e-12
Mup8,5.77245182799465,10.8432835800872,108.370606523065,2.22939542754637e-25,1.01826043727875e-22
Mup2,5.71638273444041,11.4649778135915,104.952783776446,1.25081154164285e-24,5.26196665913225e-22
Sult2a1,-14.100461544544,7.08993232114583,117.716553964801,2.00024094647537e-27,1.10261557828811e-24
Sult2a5,-15.1485923319151,4.43690971629951,162.878459585331,2.65933770796637e-37,3.2701671230423297e-34
Nlrp12,2.70683155941254,4.53719290981031,20.0311618219361,7.6190391535324e-06,0.000219851913192
Gm11008,2.45164258897066,-1.57027411342025,9.80983969885148,0.0017358063536813,0.0174341840591733
Serpina3m,2.48413829859698,9.58151047186734,32.6320914555988,1.11360771843766e-08,7.32598065306357e-07
Capn3,2.08298079591007,-1.12088646059691,4.58775969393717,0.0322010773708236,0.137307661469722
Xirp1,4.08138595214729,-0.528597674480507,8.48623120018158,0.0035784432648646,0.0298876666834512
Slco1a8,3.10499433388369,-1.93718642511802,8.63277339765924,0.003301685367824,0.0281197348375256
C1s2,1.73353664217349,4.08043526471459,19.486487492563,1.01313851184392e-05,0.0002811811154572
Nat8f5,1.927949378054,1.22543988824996,15.3623059694013,8.87410464534153e-05,0.0017237112619736
Nat8f6,2.81412519885455,-0.358755301915881,10.6953829099239,0.0010740324135128,0.0119982405048332
Gm14387,1.78585133431213,-0.306088496006101,9.52085199831158,0.0020315024390766,0.0197660365131341
