V1,Control.F.6-Acarbose.F.6_logFC,Control.F.6-Acarbose.F.6_logCPM,Control.F.6-Acarbose.F.6_LR,Control.F.6-Acarbose.F.6_PValue,Control.F.6-Acarbose.F.6_FDR
Cdt1,-1.56741042684414,1.92260524494581,15.5372558598271,8.08951350788218e-05,0.0032089072689083
Clstn3,1.97308933976201,3.56230228918913,15.3919878850997,8.73579144296343e-05,0.0033813646975112
Mogat1,2.41041248753031,0.106496150395278,7.99088702361608,0.0047013376448053,0.0543817536829654
Ptgds,-3.41792006822452,1.8599265419339,35.3269099895601,2.78753791605444e-09,1.35035094321352e-06
Clic3,-3.04771575839199,0.330859170696566,18.6317724412591,1.58555928038269e-05,0.0009748750252383
Cyp2j9,-1.51319620861914,2.23579705949691,20.0974159650294,7.35960435319139e-06,0.0005602411199529
Lpl,-1.62961774237055,4.74000233842072,7.92585811113917,0.0048733226651769,0.0554947720542685
Dyrk3,-2.16251026258635,0.605081336821103,38.2083418923716,6.35800321041676e-10,3.90919382006624e-07
Cntnap1,2.54416341011237,2.20214604606883,18.5502822185639,1.6548072618359e-05,0.0009982546750078
B4galt5,-1.61660459945925,5.40484283437878,32.6946349663843,1.07834453636237e-08,4.53642519954969e-06
Gdf9,-1.78686413933773,-1.05608706112517,10.0722821347557,0.0015051648376655,0.0260688679251591
6330403K07Rik,-3.85111530610387,-1.52413878576147,6.45862048284611,0.0110415333292723,0.091956888429108
Ybx2,-4.16131621147971,-2.47796733321688,5.43176688467869,0.0197736629541746,0.132149571900265
Dusp14,-1.52411724609083,-0.207814173078859,7.07016985246635,0.0078377824979671,0.0738488256660897
Myh11,1.50935439935469,1.42837213697998,4.11262803771263,0.042564172673791,0.210009526038032
E2f2,-2.45466372233624,0.661102018942559,23.5096818059486,1.24286753594568e-06,0.0001565506823391
Cdk1,-2.50334934855281,-0.663436345165829,13.3836269627861,0.0002538304006853,0.0073376723062493
Adcy1,2.1885201214379,0.379068789863341,6.96909622116281,0.008292937143144,0.0768526916929281
Pfn4,1.80467339543767,-0.784504595120157,9.32446822607911,0.0022611393179748,0.0334945263401486
Slc6a4,1.97516948827786,-1.13371330499704,8.25284552633079,0.0040688169479133,0.049350612844721
Meg3,-2.14126114667535,2.74494259474168,9.11385803643799,0.0025368027209291,0.0361460820114402
Cxcl14,-1.63105398378345,0.275403429132113,5.56385060428596,0.0183350432370205,0.126229113344966
Trip13,-2.11976962749348,-1.12848455607327,16.5457626287237,4.74899866175533e-05,0.0021941471851682
Plau,-1.5040067458615,0.541153608610532,4.9980041411122,0.0253765655047315,0.154835792426961
Anxa8,4.9380987208375,-1.50428902001515,12.4741851195178,0.000412614610837,0.0104865773749467
Chrna2,1.73451892798993,3.71901142485635,41.0360894970612,1.49444032609377e-10,1.40530135605501e-07
Sorbs3,1.72657520065139,5.68503728351858,38.8733442615929,4.52213567277471e-10,2.89163443459906e-07
Hr,1.95866530771347,0.277969036195019,6.78769946282056,0.0091788120387408,0.0814275745012824
Fitm1,1.57201334658829,3.98091960116279,7.53196265984444,0.0060613838593457,0.0638028640738932
Angpt1,1.88142816332178,-0.582954246302433,10.0343697488755,0.001536461087398,0.026355497555254
Ttll8,2.63267721293047,0.111816749687024,11.5937212778196,0.0006617486053945,0.014750306251524
Mpv17l,1.54700658244481,4.40685729363409,31.8833870932201,1.63711354819722e-08,6.08625515848391e-06
Racgap1,-2.15368635717534,-1.11218760761698,11.640038839977,0.0006454725505487,0.0145126922546737
Slc10a2,-1.64321010053678,3.82011163239288,18.837902411793,1.4231082962036e-05,0.0008921493812984
Trem2,-2.16205045521986,-0.806923484194706,14.6061987334681,0.0001324780603086,0.0044963784970139
Kifc5b,-1.63539539867195,-0.825901727086092,13.8458985490024,0.0001984293613075,0.00615940149488
Aqp4,1.75806033608433,2.82595950518908,6.43774262459308,0.0111720527910763,0.0927291982960255
Gm8615,2.93455148517119,1.57342207694999,7.17628374426755,0.007387356832133,0.0712545508620764
Psat1,-2.26370361834892,0.88149640656311,10.2486033927845,0.001367881219669,0.0242966101973658
Ms4a7,-1.61811283222331,-1.4974576290176,5.56126736638341,0.0183621166409628,0.126356987914022
Trpm6,-2.14633354236162,-0.0456694460371696,8.22936886024601,0.0041217861250549,0.0497302499053521
Cyp26a1,-3.84347193407905,4.09950469774633,29.8123766984054,4.75943872144156e-08,1.24728503936008e-05
Cyp2c55,-3.86328257092294,2.25781770428062,23.0833186236033,1.55130763862294e-06,0.0001836978067483
Got1,2.52392652155641,7.93725823044537,34.8084711783419,3.63787127898432e-09,1.71044147840716e-06
Cyp2c23,-2.08538822733841,6.63010480238191,5.55011308111676,0.0184794930499174,0.126623735917694
Pfkfb1,1.59924226344277,3.9940169049713,30.4184100247457,3.48207771718187e-08,1.09146067425234e-05
Cd63,-1.5667308476863,2.15201539913705,9.26002133757397,0.0023421029288906,0.034255130303061
Marco,-1.970360571829,1.32476703055866,6.12583687450277,0.0133220208806319,0.103281195828216
