V1,Control.F.6-Protandim.M.6_logFC,Control.F.6-Protandim.M.6_logCPM,Control.F.6-Protandim.M.6_LR,Control.F.6-Protandim.M.6_PValue,Control.F.6-Protandim.M.6_FDR
Pygo1,3.55108862508677,-0.0125466693643695,24.9230203641881,5.96656887379496e-07,4.43635209379006e-05
C8a,-2.5482233735103,8.46760519030218,82.6643523966582,9.72391859840042e-20,4.85770508481341e-17
Wnk4,-2.05711712416781,1.68749959329532,27.3850259531614,1.66717192694686e-07,1.43105195859501e-05
Sgcg,5.70547158484684,-2.20887937936963,8.30200732361156,0.0039601283724288,0.0612842324894947
Ugt2b1,-1.6924030703299,8.61910711867408,62.3650639609311,2.8534045064231202e-15,8.94402439993726e-13
Cd276,-1.60176757398899,0.827277262865066,8.27913700923266,0.0040103184788814,0.0615840069196921
Acss3,2.33882476333437,3.06606276394876,24.427438284303,7.71618609871134e-07,5.46394717063247e-05
Adamtsl2,-1.89437295942193,2.38418826901339,24.5175687416525,7.36353457838116e-07,5.25506534687506e-05
Fam110c,2.46856376082486,0.0066456746877646,19.8384196694619,8.42717113792321e-06,0.0004505577184309
Klhl13,2.05440047202527,2.14866957977893,60.5106255383307,7.31823808142213e-15,2.20734630131347e-12
Abcc12,-2.50704359712217,-1.13321004703526,12.1526369319274,0.0004901851039984,0.0131478172357696
Scd1,1.83222016015077,11.8522711183082,6.51611819339155,0.0106901083838719,0.116486080335761
Ppp1r14a,-1.64133562845718,1.95034100098309,13.5487878916903,0.0002324414879819,0.0072574406774992
Mycn,-4.50008340855323,0.254117306122683,42.8568845184712,5.88944573911193e-11,9.80715412348367e-09
Prf1,1.8798972059857,-0.974708718049936,12.4930041151852,0.0004084788021526,0.0112974777356606
Aldh3b3,8.26430958120088,0.246893548468683,53.5201442165855,2.55954800608178e-13,6.46817376706838e-11
Vnn1,2.96541120037564,5.77058482959851,14.3223822974333,0.0001540226489839,0.0052155359898548
Cep85,1.97850536546193,4.82966614446336,6.81806363021212,0.0090240360106464,0.104762701282639
Smim3,1.67788495490256,-0.108351807397465,11.5975775482545,0.0006603778283791,0.0165726844026196
Hsd3b5,-8.53831115656645,6.39418023125012,74.6146964445978,5.72156897594631e-18,2.3452564525507104e-15
Crygn,-2.04929939890372,0.338603874844916,13.4792139836279,0.0002412208300945,0.0074659861912724
Gstp2,-4.43440103472572,6.01384326819781,94.7219797857491,2.1909290499182897e-22,1.5920087178178998e-19
Gask1a,2.20166849242496,1.7112626983038,13.1248282338404,0.0002914080731771,0.0086588279884951
Pcp4l1,3.11407474394098,5.35429042746075,35.8926178099876,2.0849718802146503e-09,2.66642883816891e-07
Egr1,3.50020627810488,4.77975468775314,14.3612446874418,0.0001508759138354,0.0051498914962899
Nos1ap,-1.65087176910025,0.875880295918409,24.3624987672508,7.98072504466407e-07,5.57117338707423e-05
Susd4,-4.91126628411524,4.8017796436599,63.5465776214299,1.5661947357636302e-15,5.10963041753415e-13
Capn8,-6.53899284989688,1.25448856872118,51.1673803820272,8.48163834315973e-13,1.96503580512683e-10
Slc35f1,-3.83848157305341,-2.40268666012551,9.44804737925835,0.0021137400876502,0.0389104849338458
Cyp3a16,9.95412280189495,5.93774206048597,127.138715825851,1.73232183895486e-29,2.76928969175323e-26
Elovl3,-5.71282852208466,6.664962969648,46.5471189742702,8.94416583069938e-12,1.6821345290536501e-09
Degs1l,-1.57835957882319,2.9873817952069,13.0264252951129,0.0003071262392984,0.0090603119308954
Plcl2,1.53431019680687,3.3615207320932,15.9343432750724,6.55779605907697e-05,0.0025820918177439
3930402G23Rik,2.38423142041675,0.0955398832926723,8.69670896336163,0.0031878509372227,0.0522585794623143
Tspyl5,-2.2561833905357,-1.03049630948761,10.1687243995546,0.0014284306898919,0.0293130847350609
Cyp7b1,-4.54924599797269,7.41244058807688,110.932559807409,6.12182410425089e-26,5.43686000725304e-23
Rsph4a,7.868493119674,-0.521819775574264,78.5190861642212,7.922904060663971e-19,3.4231228192912e-16
Rcan2,1.97363003980225,3.38331353030575,26.6139209770496,2.48447138344342e-07,2.01607916425007e-05
Etfbkmt,-1.52125635860402,4.54952709343544,17.7451463182671,2.52561033391434e-05,0.001166890369883
Sdr9c7,-1.7556354788904,6.28050271320316,22.0380667275455,2.67296305767252e-06,0.0001618560130301
Il7,1.96192859197505,-1.41932774634701,4.12740641113259,0.0421939709340184,0.266290098441065
Elapor1,1.53139510668592,0.643643274689048,10.8099859143148,0.001009540706335,0.0230515154659446
Igsf23,-5.11699738725738,2.19558235663199,12.0640647522999,0.0005140309096312,0.0136247841376242
Cyp2b13,11.0431434414773,7.26814162284919,67.1813454980053,2.4764635490760098e-16,8.42313750968704e-14
Abcb1a,2.39778022763787,3.30215019254201,30.1606234292203,3.97702694989654e-08,3.85313653460885e-06
Ildr2,2.09550225590152,5.67772167541451,28.250308082138,1.06597663885075e-07,9.31185931621211e-06
Cyp2b9,11.5066836854287,7.99381463997744,93.3279994828379,4.43079436212889e-22,2.95127827804135e-19
Dlk1,-3.68564277766351,-0.802356749817743,4.10034158956832,0.0428745504355961,0.267940798773823
Pla2g5,-4.88080944531413,-0.893298018744496,6.34004905127777,0.0118041617091567,0.124309175943728
Tox,2.67871019032426,2.19153680804869,56.4356597271534,5.80676725101203e-14,1.62854353113471e-11
B4galnt3,-1.64799926545722,0.412749156624833,10.7641724535211,0.0010348382439352,0.0233987611987956
Serpina3a,-3.683140854844,-1.54774664108256,8.19954351749026,0.0041900930580683,0.063131788526184
Serpina5,-3.59018804813724,-0.848168713021839,10.9236150158687,0.0009494615678812,0.0219227017807945
Serpina12,-2.94021975820647,4.9850591237652,15.8238629116983,6.95201871413664e-05,0.002710609052785
Slco1a1,-4.01673240720238,7.30521239473761,37.125577715533,1.10761297693279e-09,1.51335906403825e-07
Tmem45b,3.30310926951183,-0.446824628175669,12.1021970421423,0.0005036244626303,0.013395907919482
Gck,1.56394180854828,6.95343708588837,9.91058418701291,0.0016433094786016,0.0324016444429356
Gucy2c,1.9250064105554,1.89852604792456,6.80980620118504,0.0090658603583967,0.10501945194879
Id1,2.80854612609768,3.88056393535454,27.0346295803464,1.99842971173343e-07,1.67261242784139e-05
Bex2,-3.3695535875184,-2.44106988476199,4.6546826521658,0.0309689566337277,0.225031700339442
Nmnat2,2.81742145195735,-1.24564086790674,8.93018075645601,0.0028049658573762,0.0473997718773959
Mrap2,6.76286705715647,0.232722160527215,7.32789277311372,0.0067892603891535,0.0879104557183848
Trim72,-2.65777055226193,-0.671880618429244,10.015547529933,0.001552242630037,0.0311223326132563
Serpinb6b,-1.51109154482542,-0.0041312540232962,10.7499138916872,0.0010428417117387,0.0235132124172863
Greb1l,3.25538117609668,-0.922684265501029,10.6595920042047,0.0010950154488002,0.0241114558739947
Dpy19l3,-2.19741363108971,3.82204356405986,48.0698562277245,4.11301265073822e-12,8.21882752933765e-10
Gm8399,1.70661535675989,0.698299106966627,11.4368962417754,0.0007199995855656,0.0178448269377563
Snhg11,-2.87457708674671,2.88956768537355,14.7948000978788,0.0001198655657486,0.0042771672635216
P2ry4,1.78935415830779,2.77101906831499,15.1066235013792,0.0001016061644251,0.0037083930239734
Slc15a5,-2.19311809766415,1.39317400872028,16.8503632680791,4.04455874631459e-05,0.0017287785058445
Serpinb1a,3.0759570789984,4.43056897980211,22.4278219832188,2.18190370253277e-06,0.000136783970936
Defb1,4.55653656260504,-0.148436824972405,14.6920632192306,0.0001265782546383,0.0044278644211381
Ubtd2,1.51919283151644,-1.03443583537673,7.3689001279073,0.0066361510725437,0.0869553369226915
Nyap1,2.34895548887954,-1.1394403378149,10.7079898234283,0.0010667386457063,0.0237175020726875
Col27a1,-2.20029836144371,4.72925468552788,28.2900079475558,1.04433670995963e-07,9.22362798089211e-06
Chrm3,-2.87305987682918,0.346672566392687,35.7232466897876,2.27433850154502e-09,2.86280120359833e-07
Gldn,-5.87139830311096,-1.82603875437018,8.2819331414578,0.0040041476533143,0.0615483696018112
Scn4b,2.41152164396281,-1.08247924877258,3.97410345128037,0.0462050443746904,0.278418503384629
Ttc34,-3.006692103948,-1.37931373637719,7.60553061069419,0.0058189537661507,0.0801221317017099
Gprc5a,-2.42041585285672,1.20711327023133,11.663930230999,0.0006372357539536,0.0161953112284635
Pla2g4f,3.98025422791494,-1.78316255041741,7.18211682005528,0.0073633780941257,0.0923024866090495
Rnase2a,-6.02369564066959,-1.23383413503545,15.1931370163591,9.70555137833054e-05,0.0035998362954522
Sstr2,-3.32886730244183,-0.570980237002258,26.5415570164893,2.57929494355405e-07,2.07199040038467e-05
Ckap2l,-2.36551436333715,-1.93738295013637,4.73622941089967,0.0295337330951853,0.218880972303955
Omd,-2.71394545158408,0.189612262646131,19.8159772141619,8.52669583086148e-06,0.0004543591985071
Cxcr6,1.82615067408792,-0.799621748354018,7.92670130615797,0.0048710521017638,0.0707253759298795
Prss50,-2.34542544527758,-1.0088373510589,11.6407586986827,0.0006452228077787,0.0163722727065899
Bmyc,-2.21206858158158,1.04524758599846,13.8687666565179,0.0001960293036599,0.0063307564612296
Myef2l,-1.53019334894875,0.622566139308928,27.0724878286086,1.95967185624752e-07,1.64880601547226e-05
Sorl1,1.58529733370197,1.46299909454421,4.58228730421715,0.0323040664826144,0.230941863237917
Pls1,2.14400171381251,-0.268780333122857,5.86635402882543,0.0154329829464418,0.147054448605164
Nckap5,1.56249016574334,-1.01561031532784,7.22399568999543,0.0071935406598192,0.0911942434479544
Lrrc19,4.61265221465799,-2.03727726206716,7.91354160344783,0.0049066118534934,0.0710480951901684
Lrrc4,3.99712621822375,-2.42836808954003,7.48402563238097,0.0062248744292425,0.0836275744067002
Ces2b,-4.8743621699365,-1.31710859285783,9.77288012926584,0.0017710480097275,0.0341519583636957
Evc2,1.84489348105231,0.449462891531153,6.75738110832689,0.009336067999035,0.107294308434633
Septin6,1.77685027718224,0.0279794256413498,13.9814049294939,0.0001846276019391,0.0060333426416882
Ppp1r3g,1.98330012492545,3.1128250664464,6.46178017842897,0.0110219170019046,0.118810765470295
Mmp13,-2.29573395448837,-2.00626524009531,3.85938168253988,0.0494685557353851,0.287698456054723
Tceal8,2.40988400081984,3.02530815373323,31.1944676109926,2.33430388044275e-08,2.42312869043882e-06
Cd209f,-2.58954584226951,-1.34223673110871,5.89405228411316,0.0151921025957669,0.145590254924781
Pard3b,-1.5900496501717,2.011406975615,24.40420391769,7.80980848434218e-07,5.49989420399533e-05
Akr1b7,3.67976814224169,0.502713555925986,8.98445369021096,0.0027228618293739,0.0462077167774642
Cx3cr1,-1.70696463465999,-0.332325587883764,9.01158586649358,0.0026827354246523,0.0458044910392582
Junb,1.51171975764009,5.25822779891853,10.6849531330686,0.0010801047093648,0.0239480636392607
Slc22a26,7.63119089886859,5.8924353438213,84.282080846767,4.2898572015988e-20,2.36474680085374e-17
Nebl,1.99064323305515,0.125340681601467,9.67387969369894,0.0018690620492051,0.0355277359317393
Sh2d4a,2.50746856943646,1.77183688033609,28.2756328020973,1.05212111723358e-07,9.24132317587696e-06
Zfp14,-2.55766879760764,-0.613750944267872,6.74049909941369,0.0094248253715949,0.107772001709812
Cyp3a44,7.64500779894631,7.52381591399952,90.2740911357356,2.0735012858838e-21,1.3258796622455399e-18
Sytl5,4.71111158415161,-1.61908433284073,17.1368830330822,3.47802973785208e-05,0.001519119764735
Mtnr1a,-1.83096402216023,0.755712813794576,17.145314504115,3.46262507678744e-05,0.0015165349171924
Kbtbd13,3.51482939118682,-1.41043370193804,10.1629862831468,0.0014328833567268,0.0293667606931215
Spink6,-3.38819375817531,-2.34100671438622,4.25462311062077,0.0391436329663695,0.256269377219916
Tead1,1.71714438135594,2.96694426687545,25.9059369786749,3.5846495814358e-07,2.76831923714168e-05
Abcd2,3.38185406565946,5.46744120749405,36.4492990735198,1.56689466380147e-09,2.08736484129419e-07
Gm5160,2.90666712821863,1.1413491282092,3.90191102679458,0.0482312156020927,0.284091456379902
S100a9,1.51586416026676,0.0614515741235923,4.28549186734038,0.0384389590773946,0.253709826511656
Ms4a4b,2.37499077212032,-1.2657643761227,11.2702315151056,0.0007875990565516,0.019076603815204
Med12l,1.61475474637714,0.253122994787436,5.50636270862186,0.018947410772583,0.167181657288286
Kdm5d,-7.55437653751245,2.78991431308535,414.523601157666,3.7972367806754e-92,2.02342090586256e-88
Saa2,-3.43025784942805,5.02272982326838,10.3646860391203,0.0012844874206321,0.0271611321510911
Lepr,3.3833173904729,2.50760181957543,23.196116865659,1.46292430886922e-06,9.41852339656046e-05
Prtn3,-2.66832421527286,-0.705912324374984,4.4096501296175,0.0357361697965336,0.244136072806575
Serpina9,-4.4177740058372,0.213735838478013,17.7964461361856,2.4584200565233e-05,0.0011391392180748
Mup5,-1.81641576994409,4.90265261172913,8.1656809199073,0.0042690443736363,0.064079759020611
