V1,Control.F.12-Rapamycin.F.12_logFC,Control.F.12-Rapamycin.F.12_logCPM,Control.F.12-Rapamycin.F.12_LR,Control.F.12-Rapamycin.F.12_PValue,Control.F.12-Rapamycin.F.12_FDR
Hsd3b5,-3.27171112168119,6.39418023125012,16.9927710029702,3.75224093228342e-05,0.0147763033708079
Spon1,1.58381922311792,-0.522015176344457,5.42402559091197,0.0198615157429454,0.330391457509599
Susd4,-1.90007920316606,4.8017796436599,10.1799492094848,0.0014197609206249,0.11579743916893
Vill,1.52368287313752,-0.410710526618003,3.8896094624656,0.048585720206252,0.429823643174956
Gimap3,1.78270590120792,1.00116916474537,16.3481051485657,5.27088353346836e-05,0.018317466123049
Cd79b,1.60026576798948,0.0488580649956685,9.97622758642551,0.0015857423725839,0.123059773516752
Npnt,2.25417071603259,0.451698778130908,7.55096573372273,0.0059977922090345,0.199837931094445
H2-Ob,1.62606520008794,-0.647651287386451,8.72047616123376,0.0031465585056735,0.155232734856523
Slco1a1,-4.37505604106485,7.30521239473761,41.8372186275293,9.919709513861601e-11,1.58576476288592e-06
Mfsd9,1.62272740714039,-0.3163986245946,9.29563334611713,0.0022970071433653,0.14462798603412
Rassf4,1.96193005271337,2.88199545940549,7.95424776787199,0.0047974644435061,0.181947151954939
Grap2,1.6044052466127,-0.886611792006366,6.80273674455375,0.0091018252455902,0.23826471495814
Esm1,-2.17849491080304,-1.14027305548338,4.54844360164554,0.0329486836195139,0.385560374540022
Mrap2,-5.21054532138689,0.232722160527215,4.63951901470598,0.0312437580194394,0.3789550194983
AY074887,1.94429626374271,-0.52068837330347,4.04096203939484,0.0444084992087285,0.417351127778209
Tlr1,1.60027418941501,-0.944882447801068,7.06273097305971,0.0078703929675095,0.225405181257979
Flrt2,1.63624759688263,-1.12329340331789,5.11849658221625,0.0236721167575111,0.351041241637822
Dmbt1,7.23487662331597,1.48675902924872,5.87981510164599,0.0153154299582491,0.304897214586015
Gpr157,1.5254563869488,2.04007917556217,18.5188161319306,1.68235212202359e-05,0.009750702689427
Arxes2,4.2723269746348,-2.29148989281053,4.20037669914016,0.040415000687762,0.408718951560875
Cxcr6,1.56004811189395,-0.799621748354018,8.06915472333802,0.0045025115762351,0.176806072259368
Themis,3.02813053305551,-1.68109507466443,5.75954485825196,0.0163993193687428,0.313029618077159
Gal3st1,1.54958701212198,0.532980775388526,5.09921372048841,0.0239366915666716,0.352674609571256
Carmil2,1.95650621748129,-1.13771458981036,8.50718242638132,0.0035374738001985,0.162905641403484
Adnp,1.72163377624964,2.16225519949295,10.2192419651844,0.0013898296197503,0.114282902259026
Btla,2.07474558114696,-1.43461987474091,8.29867374697125,0.0039674041024125,0.167785507886686
Rasal3,1.70004650525829,-0.308590219723797,9.14277746558979,0.0024970176495319,0.14462798603412
Pkdrej,3.59616238711341,0.404634416183513,9.701722335105,0.0018409538529744,0.132105996784684
Slamf8,2.15163884327289,-1.5786262218791,8.95889625624616,0.0027612166365767,0.14787441967776
Kbtbd13,1.59778896363949,-1.41043370193804,5.4714590114464,0.0193294822591218,0.32991528336155
Ntrk2,1.67546956481265,4.24765883581182,4.35094245196646,0.0369884719222142,0.39604669266478
Cyp3a11,-2.12877662065215,11.1964024127463,21.3654561459169,3.79548457948313e-06,0.0040449744325078
Med12l,1.82947094457471,0.253122994787436,5.98928201586743,0.0143930595800216,0.295628015299525
Hamp2,-3.33479849980255,8.01564915113789,3.99801195568648,0.0455539654703802,0.422404693741008
Gm6612,5.97619697163322,-0.082749590946435,6.28458192993703,0.0121792805068396,0.275051277610073
Mup5,-1.9328311570095,4.90265261172913,8.96317123688916,0.0027547630444802,0.14787441967776
Capn11,4.21973849627716,-0.297493002334897,5.72087146962286,0.0167644076108293,0.316733131964036
Dbp,2.3823543247309,5.96679013967269,6.11610991654123,0.0133955272506111,0.285902401372856
Klk1b22,5.59726189170226,-2.09346451241342,4.12723429356957,0.0421982629856511,0.412578884829163
Blnk,1.94505638694806,0.338120056997744,7.15477621701428,0.0074764622523657,0.220719106386429
Sfmbt2,1.57506741940536,-0.858960909182589,4.05247332580399,0.0441066779001174,0.417351127778209
BC023105,2.03757084640545,1.35337928652281,14.0602584204765,0.0001770454626335,0.0348456086980235
Cyp26b1,1.58820676615358,3.02207249856409,4.17486480839784,0.0410278357460932,0.410432404403658
mt-Tq,-2.48329160040076,-0.982825765545283,4.31674121877934,0.0377391298651166,0.398210450774273
Zfp979,2.09661460163995,-0.430272840310414,5.44271957010378,0.0196500512107241,0.329988766994445
Gm4841,2.35881835417027,-0.919555332302152,10.7180543231221,0.0010609517770249,0.0999879751793555
Fcho1,1.6556722686065,-1.33376315061245,5.12097674913889,0.0236383078983945,0.350865357533645
Rgma,2.02416353039773,-0.600754812879437,6.60796646058542,0.0101523532229826,0.253576347504721
Nup62cl,-2.12857051825352,-1.0353750662214,4.33562644946836,0.0373226791525205,0.397801755594143
Pnldc1,1.84683512985722,0.843023434660109,7.0106610597737,0.0081025756875151,0.228847658905683
Rec114,1.55086750651479,-0.363383535557734,4.01041205962363,0.0452200977414309,0.42092587163631
Tnfaip8l3,1.5405445172084,-0.494263273346161,4.70916217038814,0.0300022700654605,0.375580492769344
Trbc1,1.83272948437186,-1.15905295145221,8.62523563994858,0.0033153755016894,0.157519858444122
