V1,Control.M.6-alphaestradiol.M.6_logFC,Control.M.6-alphaestradiol.M.6_logCPM,Control.M.6-alphaestradiol.M.6_LR,Control.M.6-alphaestradiol.M.6_PValue,Control.M.6-alphaestradiol.M.6_FDR
Ace2,-1.86585840191768,-1.14512400518082,7.98326331881764,0.0047211762555298,0.282669376857305
Arnt2,-6.55804098887991,-2.21856170290805,12.6698238597336,0.0003716045384386,0.0565759062045749
Wfdc2,-1.63896312300465,1.74616691841017,8.80699683376017,0.0030007754625011,0.217060617844088
Wfdc15b,-3.1175691704232,-1.02534864746733,13.4266342089551,0.0002480768120172,0.0440639546323138
Gpx3,-6.32655618134783,3.96764257184372,50.3559857873636,1.28238353796347e-12,1.0250091618942e-08
Alox15,-2.97501116818934,-1.3892636583165,5.90716021751479,0.0150794615393496,0.501164807002168
Isyna1,-1.66574072316277,2.91338995750153,27.8013185948035,1.34434456482406e-07,0.0001790891017773
Dpep1,-2.39913349211546,-0.278208129739616,8.04161796601675,0.0045714687092584,0.278714998843693
Moxd1,-2.98309039916375,2.58265298350066,4.29747361762761,0.038169033483494,0.758909780321465
Timp3,-1.98643320672787,3.13164373699395,11.1525618619808,0.0008391570642012,0.0966066095441139
Slc26a4,-2.42779272934851,0.480993893087924,15.8135109209999,6.99015734130238e-05,0.0186241092096766
Grhl1,1.77962756367617,-0.438471277071371,10.7449268896732,0.0010456557172404,0.105796533517756
Ace,-2.6822266684696,0.677684666094693,23.7115796799793,1.1190717972365e-06,0.0007778035543748
Fos,1.89910702650552,0.678766711170427,5.14876194777877,0.0232629535846114,0.608700555027076
Cyp46a1,-3.82584951387025,6.28104783441276,7.0351392135168,0.0079925660491987,0.378015268823939
Amn,-1.94211546074344,0.748460289882889,7.47247039239002,0.0062649527003256,0.333838446224684
Gpr137b,-2.10726407507053,0.504140761398647,20.1193681767217,7.27561577475657e-06,0.0035244846598563
Aoah,-2.54487456184035,-1.08712186263774,11.3395670097249,0.0007587301218962,0.0912847922936691
Ogn,-1.58708054128088,-0.63335202184627,6.91727841305756,0.0085366801114767,0.390211729561611
Eci3,-3.92446714222042,1.60063118837468,18.6294404825112,1.58749986538323e-05,0.0066783612757937
Sema4d,-1.65845342159001,0.167436477969026,8.53651450110934,0.0034809156717731,0.238823682098567
Arhgef28,-3.17059640614905,-2.05990683675449,7.69220459231538,0.0055459841184968,0.309993364049969
Cfap20dc,-1.64468243029816,-1.84806690558881,4.35430174733345,0.0369155894697287,0.748899255410004
Sftpa1,-1.56352898103943,-0.0262033945474759,10.6629075139329,0.0010930543683799,0.109113931127622
Plau,-3.36412413205106,0.541153608610532,22.8663178410732,1.73668627856243e-06,0.0010677948788115
Sema3g,-1.8480370848419,-1.30945681176513,5.25723296728317,0.0218557399827098,0.594727915342463
Scara5,1.89340248614365,2.07792398142309,5.30669710005239,0.0212435939769057,0.587018122608306
