V1,Control.M.12-CR.M.12_logFC,Control.M.12-CR.M.12_logCPM,Control.M.12-CR.M.12_LR,Control.M.12-CR.M.12_PValue,Control.M.12-CR.M.12_FDR
Cyp4a31,-3.02540222930499,6.22895610647876,30.8959491714659,2.72239425663105e-08,7.25336576441734e-06
Cyp4a14,-6.37258392616625,10.6273762730769,31.5298453578052,1.96398290930319e-08,5.50811066458259e-06
Slc34a2,-2.55513515165826,0.0359090463397296,8.72398900338943,0.0031405016642868,0.045806623727454
Lnx1,1.73942445823969,-1.28638775159462,4.18599214895139,0.0407593486232043,0.232126450691323
Crybb3,4.01418094482959,-0.122428077359659,26.4232469681518,2.74220236050464e-07,4.71363945537926e-05
Ulk1,1.68795384836038,6.45194881551343,58.7125342551002,1.8247533063694302e-14,4.8617510592702794e-11
Nat8,-1.65875918398376,3.7690363707075,15.8483322359471,6.86269924261183e-05,0.0030474197247886
Tuba8,-4.13229154032689,0.952813583518583,21.7701132354516,3.07350741525705e-06,0.0003033479793405
Wnt5b,-2.13345511941474,2.40811763123114,32.9426614135888,9.491736022817461e-09,3.09663045021959e-06
Clec2h,-6.71492854381439,0.727343073187624,13.2693123086054,0.0002697861531118,0.0084564734189138
Cyp2b10,-1.63804953397332,5.15996957138882,7.7074322954344,0.0054993921276285,0.0660505503773633
Plin1,-7.12880303847609,0.708352898422319,7.19529042658067,0.0073095159850206,0.0797820547889684
Ddias,3.28284187039322,-1.42844649271657,23.3902336059037,1.32248263299478e-06,0.0001664599443153
Tmc5,2.93735250132339,-0.349382915494058,8.87178928345954,0.0028961114340761,0.0430671975675729
Fgf21,3.0522127981492,3.79487546661965,17.1397549597475,3.47277488380348e-05,0.0017850732891473
Acsm2,1.74469359572448,2.3187871917808,4.52148738249777,0.033471720150668,0.205207565963844
Wee1,-1.8341646787706,3.58535154074038,6.73664871209166,0.0094451895946994,0.0933771186523594
Sfrp1,-1.88085544159808,-0.194028466793182,5.03922524871356,0.0247795699088288,0.171829726728777
Fgl1,1.90538136555498,7.84409788340962,9.18205496519977,0.0024439946562707,0.0378215862295681
Ucp1,-7.95300813329958,0.155066195839971,5.32388995172725,0.0210350032418902,0.155462580594016
Mt2,3.03014321000779,2.81053230352698,8.42785737534538,0.0036951550703418,0.0512766918007682
Mt1,1.85155245719605,8.02044864240767,5.00643248407195,0.0252532966027921,0.173783555528297
Usp2,-2.09871500290877,4.97247296117237,5.64233732151718,0.0175318198208585,0.139088670797143
Cspg5,2.49159128505233,1.32823424975708,17.8980646249958,2.33057992656464e-05,0.0013353560043574
Trib3,1.96569633303807,3.58147342454078,15.26553538218,9.34053097766493e-05,0.0037706497022462
Alas1,-1.72664387390717,8.49238126248967,8.30878958506401,0.0039453675598842,0.0530835360308078
Cyp2c38,-1.6305828242761,6.66430296942563,14.1123834214193,0.0001722063486518,0.0060106783614584
Fbxo21,1.52490064373824,7.3533727915985,34.1183425233954,5.18601063147756e-09,1.80225143380001e-06
Adamts15,-1.96328035674434,0.0048258171900856,19.3230419493075,1.10366425568439e-05,0.0007911738471466
Igf2bp2,1.98817728213454,0.201734149620838,9.29271893456573,0.0023006643612779,0.036310377384243
Dnah8,2.220843280637,-0.11779433282876,15.2071150726408,9.63397514584036e-05,0.0038513921923034
Kcnk1,1.71297000732464,0.79287936972901,4.38069797824461,0.0363481100958951,0.216571333579194
Eda2r,3.58724833569508,-1.27809487924143,18.0099079175692,2.19758214398308e-05,0.0012774744783168
Gnat1,1.55235447551557,2.83319897419612,15.1598067574737,9.87838972275054e-05,0.0039185096304687
Kcne3,-1.51683064159238,-1.29627416673825,4.0184422140817,0.0450052647927166,0.246962273739922
Isg15,1.52215362838131,2.77934666836671,11.7150449779981,0.0006199681267537,0.0148365426261753
Dnajc12,1.57057282916226,2.9575575351677,23.5217555399767,1.23509254606013e-06,0.0001568171132612
Scd1,1.87539646170373,11.8522711183082,6.80804866472363,0.0090747879696227,0.0906684753014931
Ppp1r14a,1.84744821182859,1.95034100098309,15.6041677906831,7.80822927520597e-05,0.0033464437853469
Mycn,1.77601770284887,0.254117306122683,8.3947792389822,0.0037630020999228,0.0519028054955714
Spon2,1.96249861840161,3.55844395740668,13.0994374234779,0.0002953844716943,0.0089775178929298
Vnn1,-3.33096167610387,5.77058482959851,17.1284732015613,3.49346348250602e-05,0.0017899521548506
Osbpl5,-1.66945101971447,2.53653452741187,13.9526750652604,0.0001874706982876,0.0063899927139154
Dzip1l,1.6342909599722,-0.58018546272524,7.41518641193181,0.0064675613185276,0.0739030988119962
D630003M21Rik,1.5109981506306,-0.234861230821784,9.85692430923136,0.0016919373066515,0.0295599014034217
Nmrk1,-1.91278447848113,3.45062806677287,23.2586820984028,1.41609729595287e-06,0.0001728071097183
Ddx60,1.73636607081952,1.53935351316013,13.2167768515396,0.0002774543393654,0.0086268863682086
A4gnt,4.26177179069556,-1.62983185838901,8.15864862156891,0.0042856292944549,0.0561098033588513
Hsd3b5,2.19943173229197,6.39418023125012,9.02172670578813,0.002667892490553,0.0404338849304742
Enpp6,2.16361550822366,-0.717072833920777,6.89036636045192,0.0086661505242217,0.0884091144098335
Gask1a,1.94443824430846,1.7112626983038,11.181773133983,0.0008260479287032,0.0181599265801128
Pcp4l1,-2.7918401582521,5.35429042746075,29.3202973020745,6.1349705464284e-08,1.40105198793149e-05
Srd5a2,1.52816013590124,1.31575464768241,5.19092883392042,0.0227050781798072,0.16256904825705
Capn8,3.06329627434255,1.25448856872118,15.7165713293077,7.35767391746219e-05,0.0031961895446888
Plcl2,-1.55589653682891,3.3615207320932,15.9938532757698,6.35484741841761e-05,0.0028697342042605
Camk1d,1.59554611203176,5.17598415024859,7.10031301441643,0.007707049134862,0.0825216928800433
Cplane1,1.63164042393037,2.49941091684764,40.3253409437944,2.15002058153331e-10,1.32193188524583e-07
Disp2,2.96621463765824,1.18555000187161,3.93549374231935,0.0472772602966967,0.254041775832939
Bmf,1.85801794577645,2.93915448152002,7.95612850283895,0.0047924817370397,0.0601909979849473
Fmo2,-3.05102000488894,5.40075967850093,23.3752186821361,1.33284579459321e-06,0.0001664599443153
Cbln3,1.56080869257154,0.276908084877341,10.4304181305048,0.0012395667672579,0.0238456249595489
Large2,-1.54244289302244,-0.208009004253574,7.33507012516053,0.0067622041277979,0.0759666867090494
Cyp2b13,-4.50017086997932,7.26814162284919,19.0018344214454,1.30592843391313e-05,0.0008921611942109
Abcb1a,-1.648876436636,3.30215019254201,14.7678482989656,0.0001215910903713,0.0046279885016104
Cyp2b9,-3.47125217529435,7.99381463997744,17.2798794208358,3.22584615725674e-05,0.0017132351053125
Mthfd1l,-1.66430069275241,0.489395316441326,7.30518949721798,0.0068755745519379,0.0769766007297586
Npnt,2.34687215566619,0.451698778130908,7.51716993087936,0.0061113620034106,0.0711125110968684
Gpr12,2.1397349443858,1.07675211961457,9.05062151284243,0.0026260553451303,0.0400191808839399
Serpina12,2.80543447075472,4.9850591237652,14.614140101952,0.0001319209770115,0.0048988535247832
Cux2,-2.08652143295078,3.75657549565302,6.00020618066949,0.014304206679686,0.123586224669742
Nmnat2,-2.30623360200281,-1.24564086790674,10.6021829146843,0.0011295422381067,0.0223476017554134
Nrep,-2.60676096560101,3.73950697243351,24.1782713059817,8.7817497567423e-07,0.000124234558948
Epop,-1.69631010623691,2.35702539774889,13.451611436132,0.0002447958313175,0.0078422969127098
Gm8399,-2.08885943221836,0.698299106966627,31.2897124383887,2.22254254923445e-08,6.12578710207965e-06
Ncmap,3.69596897432543,0.965381240850008,23.7366634315611,1.10458130801069e-06,0.0001509216819646
Krt13,-7.03805494090651,3.44738010872001,6.40899495123413,0.0113543666583845,0.105345853395784
Lingo4,-2.71922316797507,0.729119390526651,42.0998513749597,8.672978254412001e-11,6.93231151875151e-08
Cage1,2.07616276761143,0.0915324966358115,12.0752641078569,0.0005109522488185,0.0131956100963061
Zbtb7c,-2.02134573684757,0.575100365640022,7.5230498838911,0.0060914460585297,0.0710268830719599
Zfp354c,-1.56632817687443,-0.592972421879883,6.64480728324637,0.0099445234432265,0.0964642911185799
AY074887,4.14314344231251,-0.52068837330347,5.99950380263012,0.0143099025311956,0.123586224669742
Lrfn4,1.51559918390711,1.55727453016123,7.49321832266734,0.0061931773939016,0.0717941507026187
AI467606,1.75563141169103,-0.957023895949263,6.00988396519658,0.0142259629562712,0.123127365359476
Or5m3b,5.63034043893158,0.994454437719251,5.8423074051985,0.0156452964031616,0.131185950410956
Col27a1,-1.67802840097825,4.72925468552788,17.2058530668819,3.35401391320471e-05,0.0017579431611964
Slc16a5,-3.19381659671252,4.83286331398434,34.795593746541,3.6620132368092205e-09,1.46352359009081e-06
Gldn,-4.73221039241096,-1.82603875437018,5.71284787504976,0.0168411968546425,0.136384687395296
Adamts6,3.91481019629122,0.170504223689542,20.3922087080824,6.30861188113567e-06,0.0005145381098563
