V1,Control.F.6-Protandim.F.6_logFC,Control.F.6-Protandim.F.6_logCPM,Control.F.6-Protandim.F.6_LR,Control.F.6-Protandim.F.6_PValue,Control.F.6-Protandim.F.6_FDR
Gm12009,-2.25139742280602,-1.32957529544707,5.44435155599113,0.019631701162008,0.165348985656406
Gm11702,-7.87301493685415,-1.22313582146744,19.5398031938041,9.85252259243618e-06,0.0048931445228455
Gm15344,1.74061026819142,-0.62152624653091,6.85824572247404,0.0088233132412779,0.114409118841741
Gm16063,-2.32097051886497,-0.638496768302169,9.6664523323786,0.0018766334823586,0.0558656663854461
Gm11832,1.60340704323452,0.769685822546625,9.04845754216572,0.0026291653830408,0.064462941431429
Gm12718,-2.55702642657731,0.898452461400295,4.60160204859964,0.0319420942529102,0.211439469452184
Gm16759,-1.6303743171823,-1.38973886269422,10.7202139646815,0.0010597141735788,0.042046368952286
Timd7-ps,3.57164215081661,-1.23348713385092,7.05374625508271,0.0079099651311984,0.108979726990556
Hopxos,-1.50101718019849,-0.99118216794054,6.52439423780523,0.0106404782636951,0.125207488437387
Gm11773,-2.02285466720781,-1.54059484244506,6.62012474093943,0.0100832771261068,0.12165378727392
Gm14057,-2.51147460557744,-1.55308112807171,7.77785909538878,0.0052890440562369,0.091654139067116
Sult3a2,3.240709797039,3.6093550622776,12.6489577468602,0.0003757751116307,0.0269378517243451
Gm17077,-1.56887234488674,0.0012960569351107,18.5714406549798,1.63654069279638e-05,0.0062289855988197
C2cd4d,-1.90143408902335,0.504992804280953,18.5961383630559,1.61547459761609e-05,0.0062289855988197
Rps2-ps10,-2.33165809298713,7.96963949912544,9.23103672106856,0.0023794688228844,0.0615504669945481
Gm379,1.86411250859649,-0.44194753858896,5.00454761319759,0.025280809735252,0.187362743700152
Amy2a3,-8.03266200873788,-1.370921423118,5.97552099571002,0.014505795458122,0.143762954862702
Vmn2r20,-1.51344896387156,-0.110433183079604,5.40075230365349,0.0201280736540936,0.16759063894899
Mup-ps3,-3.76755591556269,-1.20852892722543,5.57030886979314,0.018267538148661,0.15940221880158
Amy2a2,-8.01738387614345,-1.38337504816584,6.59968138742058,0.0101997018022627,0.122503706244156
Gm3200,-1.66048831639393,-1.18891702548643,4.45530005905099,0.0347931031015049,0.219904095909416
Gm28513,-1.8510595942332,-0.148500465004879,7.57850156616439,0.0059068522128612,0.0964524407301319
Rpl21-ps10,-2.15279929569314,0.702519033262411,6.9205599199668,0.0085210291825623,0.112762560026856
Gm9260,-1.8571590899229,-0.241151711426278,6.03677245099654,0.0140108761984352,0.142208169465515
Gm4754,2.24086916775373,-0.716663809317145,4.19307297036106,0.0405894593887403,0.236771420726308
Mug4-ps,1.84837710220601,4.11626595848953,8.55627750867616,0.0034433278172777,0.0753360273471481
Gm44787,-2.11834937945303,1.16105859358198,10.3096404151671,0.0013233706608167,0.0474283646793087
Gm31105,-3.51758756438433,-0.997268937732857,20.0734564424468,7.45238414888612e-06,0.0048598162751805
Gm38416,-1.81113038302737,0.883603899185559,4.88911286486536,0.0270265700917546,0.194265624769239
Gm47935,3.46453706331146,-2.02785058394608,10.8606077886745,0.000982314502414,0.0410211028407257
Gm35696,4.21173239618895,1.77860880556374,12.8740151511229,0.0003331760132225,0.0254839796525181
Gm32872,-1.75060688965848,-0.0327251538355416,6.14261375638145,0.0131962114670623,0.139198855080089
Gm5628,-2.24145109271151,-1.09354844072283,9.24683138700618,0.0023590325378914,0.0614973322967033
4930402D18Rik,-2.51505617431907,0.30777405914686,9.27041606551453,0.0023288479424159,0.0613519214861873
Rpsa-ps7,2.80062416847562,2.82750892795929,13.825712120375,0.0002005725604111,0.0220755373668851
Gm49970,1.71330194153997,-1.32914076199096,5.42431066888763,0.0198582733621578,0.166271020389395
Gm6883,-2.11382957392256,-0.893267753329084,5.33789713640285,0.0208666298717234,0.170497589655977
Hspe1-rs1,-2.05029119663242,5.26687808814959,7.66004867423531,0.0056456981623258,0.0945048490292574
Gm5827,1.7982891281919,-0.688955719152392,4.9475023043662,0.0261283904330094,0.190899656975361
2310015A16Rik,-1.62992165973785,4.58090766550125,9.9778188920925,0.0015843725001447,0.0514739061792965
Gm50357,5.20905075373374,-1.7592565307616,15.5545407491947,8.01588917440767e-05,0.013632128121498
Gm31907,-1.65898538762711,-0.446502234780847,16.3996164534068,5.12956081672054e-05,0.0113383034098575
Gm50136,2.08409852906645,2.10786799744643,5.75412244526294,0.0164500103227357,0.152623253058185
Gm57111,1.81956506632651,0.0484249704354398,6.75369094727554,0.0093553956713361,0.117298317805475
Gm57438,-2.15843347215667,-1.14788144871502,15.9761458623426,6.41456633746824e-05,0.0126596614161441
Gm57147,-2.96501927856301,-0.470995484891648,5.489241253828,0.0191338449759269,0.163308425780474
Gm56257,-1.78975764528607,-0.859091503841562,12.3479192736754,0.0004414782485341,0.0288060052288413
