V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
Cmah,3.77271593301747,6.65265865741986,117.926030234035,1.7997630923809e-27,6.254567998869781e-25
Sulf1,-1.86179739316176,-0.311099553759679,8.29204228955734,0.0039819181195929,0.0258444754607442
Slpi,-3.42490291956412,0.870394260850773,10.2305637546509,0.0013813243751069,0.0113648231911785
Gsdma,-6.54020779239712,-2.42520615790195,4.62908398508396,0.0314343420902997,0.117353898331511
Mpp2,-2.90346803643068,-1.05444309856226,18.2436096891433,1.9437697099589e-05,0.0003230052243596
Ada,-2.20720826170031,1.47155199145684,9.99048457707278,0.0015735119193157,0.0125896704415323
Dhx58,2.11190801065535,3.02106138677609,34.7265192514991,3.79427571919082e-09,1.63933220667526e-07
Cadps2,1.62748296609695,3.36217587350961,55.2888077861177,1.04059415985854e-13,8.94351518252611e-12
Slc13a3,1.52469684407976,4.03393330287448,10.7511463622633,0.0010421474491908,0.009015026581583
Slc2a4,-4.02222096081775,-0.212075703574932,10.3467328640995,0.0012970404760775,0.0107823656009231
Dnah11,2.7372674884807,-1.00022206284941,7.06140707230919,0.0078762111953243,0.0432955633520826
Pnpla5,7.25372991924984,-1.46193270997062,9.18830457889737,0.0024356639238522,0.0177387350736684
Mb,-9.60209502353529,0.405596839087326,6.34887912316394,0.0117455486415197,0.0583119070134577
Aldh3a1,-6.28048906068187,-0.327716245675779,10.0354441170071,0.0015355651984859,0.0123540741132343
Rnf145,-1.53569226765973,4.61607035775781,31.8501130935557,1.66539975181994e-08,6.14851742092229e-07
Scn1b,-1.68942885146922,2.92893022455167,12.0695725590812,0.0005125145013277,0.0051206605113908
Dpep1,2.26843774385741,-0.278208129739616,5.4883808406051,0.0191432638248633,0.0828884657378834
Noxo1,-1.73390630561166,-0.587030986572633,9.07592730862736,0.0025899620851329,0.0186165170381903
Cyb561,1.50432409231552,1.68619960973328,3.93351358886986,0.0473329528783233,0.155660029367688
Syne4,-3.79341046436152,-0.0962778210079751,17.792115426465,2.46402214598328e-05,0.0003978773537948
Esr1,3.57376221167818,4.36944206258618,123.193804732513,1.26471992959574e-28,4.93117385232136e-26
Trdn,-7.34830110435778,-2.50446754363993,5.37433209815071,0.0204351636344595,0.0867408743081023
Plagl1,-2.14839502421345,-0.246036087790747,10.9170358453888,0.0009528394548612,0.0084062315261654
Hebp2,-2.6168020778115,-1.83673696658432,6.84321937050245,0.008897834268155,0.0472403781503576
Fam184a,3.76894981522968,-0.863214806007261,22.9184408392247,1.69022507994134e-06,3.82718670367454e-05
Slc17a8,1.9941403971573,4.68075779104376,11.6941565364605,0.0006269668431626,0.0060119488042218
Cabcoco1,-1.57265549526854,0.0160864302385178,21.617868561427,3.3273750666122e-06,6.98050102557253e-05
Sgk1,-1.58297026194439,4.38368403394175,20.3110870753123,6.58180872751661e-06,0.000126159225801
Moxd1,8.26536134154927,2.58265298350066,19.5514752655639,9.79250865399929e-06,0.0001768847947376
Vnn3,-2.12717860455197,5.69308865065238,21.724195395225,3.14795767516842e-06,6.63020439990018e-05
Cfap54,-2.62047888430322,-0.723551818322584,9.62114276336464,0.0019235000812413,0.0147832078359252
Socs2,3.19213156041569,3.92136192209752,21.3628313961604,3.800684424303e-06,7.84983736523356e-05
Rfx4,5.7777440923038,1.92525611402944,51.7890360330707,6.17959213670816e-13,4.81887609255691e-11
Igf1,4.85760595335403,8.52530210871226,408.626122071245,7.297693493591121e-91,5.83304640942738e-87
Mybpc1,-10.3800807555196,0.211876841488478,11.5821478784838,0.0006658798479015,0.006291226506238
Slc16a7,-2.37705637280471,6.40390363285896,85.0597532487625,2.89483311947549e-20,5.6435124692603794e-18
Egfr,4.42431575587399,7.69994764791278,76.6275953065435,2.06434823164159e-18,3.30006708310225e-16
